Active Addresses/t,Active Addresses/v
2008-12-29T00:00:00.000Z,0
2009-01-05T00:00:00.000Z,0
2009-01-12T00:00:00.000Z,34
2009-01-19T00:00:00.000Z,63
2009-01-26T00:00:00.000Z,61
2009-02-02T00:00:00.000Z,45
2009-02-09T00:00:00.000Z,75
2009-02-16T00:00:00.000Z,59
2009-02-23T00:00:00.000Z,45
2009-03-02T00:00:00.000Z,69
2009-03-09T00:00:00.000Z,17
2009-03-16T00:00:00.000Z,87
2009-03-23T00:00:00.000Z,50
2009-03-30T00:00:00.000Z,51
2009-04-06T00:00:00.000Z,16
2009-04-13T00:00:00.000Z,16
2009-04-20T00:00:00.000Z,135
2009-04-27T00:00:00.000Z,41
2009-05-04T00:00:00.000Z,41
2009-05-11T00:00:00.000Z,25
2009-05-18T00:00:00.000Z,0
2009-05-25T00:00:00.000Z,61
2009-06-01T00:00:00.000Z,2
2009-06-08T00:00:00.000Z,0
2009-06-15T00:00:00.000Z,0
2009-06-22T00:00:00.000Z,88
2009-06-29T00:00:00.000Z,8
2009-07-06T00:00:00.000Z,0
2009-07-13T00:00:00.000Z,0
2009-07-20T00:00:00.000Z,122
2009-07-27T00:00:00.000Z,5
2009-08-03T00:00:00.000Z,112
2009-08-10T00:00:00.000Z,0
2009-08-17T00:00:00.000Z,0
2009-08-24T00:00:00.000Z,50
2009-08-31T00:00:00.000Z,21
2009-09-07T00:00:00.000Z,14
2009-09-14T00:00:00.000Z,103
2009-09-21T00:00:00.000Z,92
2009-09-28T00:00:00.000Z,55
2009-10-05T00:00:00.000Z,15
2009-10-12T00:00:00.000Z,161
2009-10-19T00:00:00.000Z,166
2009-10-26T00:00:00.000Z,59
2009-11-02T00:00:00.000Z,42
2009-11-09T00:00:00.000Z,64
2009-11-16T00:00:00.000Z,83
2009-11-23T00:00:00.000Z,0
2009-11-30T00:00:00.000Z,191
2009-12-07T00:00:00.000Z,119
2009-12-14T00:00:00.000Z,373
2009-12-21T00:00:00.000Z,10
2009-12-28T00:00:00.000Z,4
2010-01-04T00:00:00.000Z,85
2010-01-11T00:00:00.000Z,241
2010-01-18T00:00:00.000Z,24
2010-01-25T00:00:00.000Z,191
2010-02-01T00:00:00.000Z,383
